Pais;Provincia;Pontos;Preco
FR       ;Bordeaux         ;93;47
FR       ;Burgundy         ;89;23
FR       ;Burgundy         ;89;28
FR       ;Bordeaux         ;87;20
FR       ;Bordeaux         ;87;17
FR       ;Bordeaux         ;87;18
FR       ;Bordeaux         ;86;15
FR       ;Beaujolais       ;88;17
FR       ;Bordeaux         ;88;35
FR       ;Southwest France ;88;18
FR       ;Alsace           ;84;19
FR       ;Alsace           ;84;8
FR       ;Alsace           ;84;23
FR       ;Alsace           ;84;19
FR       ;Alsace           ;84;15
FR       ;Alsace           ;84;16
FR       ;Champagne        ;92;70
FR       ;Champagne        ;91;60
FR       ;Bordeaux         ;90;31
FR       ;Champagne        ;90;85
FR       ;Champagne        ;90;60
FR       ;Provence         ;87;36
FR       ;Bordeaux         ;88;30
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;42
FR       ;Beaujolais       ;84;22
FR       ;Beaujolais       ;84;14
FR       ;Alsace           ;88;18
FR       ;Alsace           ;88;19
FR       ;Alsace           ;88;21
FR       ;Burgundy         ;94;85
FR       ;Burgundy         ;94;260
FR       ;Bordeaux         ;87;
FR       ;Bordeaux         ;87;
FR       ;Alsace           ;85;17
FR       ;Loire Valley     ;85;13
FR       ;Bordeaux         ;85;25
FR       ;Bordeaux         ;85;15
FR       ;Burgundy         ;88;35
FR       ;Burgundy         ;88;40
FR       ;Alsace           ;88;17
FR       ;Loire Valley     ;87;25
FR       ;France Other     ;87;12
FR       ;France Other     ;87;10
FR       ;Bordeaux         ;85;15
FR       ;Beaujolais       ;85;12
FR       ;Beaujolais       ;85;15
FR       ;Beaujolais       ;85;11
FR       ;Bordeaux         ;90;50
FR       ;Bordeaux         ;90;19
FR       ;Bordeaux         ;90;42
FR       ;Bordeaux         ;90;19
FR       ;Alsace           ;88;19
FR       ;France Other     ;89;20
FR       ;Provence         ;89;19
FR       ;Bordeaux         ;90;20
FR       ;Bordeaux         ;90;
FR       ;Bordeaux         ;90;20
FR       ;Bordeaux         ;89;40
FR       ;Bordeaux         ;89;38
FR       ;Languedoc-Roussil;90;24
FR       ;Beaujolais       ;90;
FR       ;Southwest France ;90;
FR       ;Burgundy         ;90;
FR       ;France Other     ;86;10
FR       ;Bordeaux         ;86;10
FR       ;Alsace           ;86;19
FR       ;Alsace           ;86;19
FR       ;Bordeaux         ;86;15
FR       ;Bordeaux         ;84;15
FR       ;Languedoc-Roussil;84;11
FR       ;Bordeaux         ;84;13
FR       ;France Other     ;84;8
FR       ;Bordeaux         ;86;
FR       ;Bordeaux         ;86;
FR       ;Bordeaux         ;86;12
FR       ;Beaujolais       ;88;22
FR       ;Beaujolais       ;88;20
FR       ;Loire Valley     ;91;40
FR       ;Loire Valley     ;91;55
FR       ;Southwest France ;91;24
FR       ;Southwest France ;91;48
FR       ;Burgundy         ;86;30
FR       ;Burgundy         ;86;26
FR       ;Alsace           ;86;18
FR       ;Burgundy         ;86;20
FR       ;Burgundy         ;86;22
FR       ;Bordeaux         ;91;
FR       ;Bordeaux         ;91;25
FR       ;Bordeaux         ;91;37
FR       ;Champagne        ;91;50
FR       ;Alsace           ;91;22
FR       ;Alsace           ;92;33
FR       ;Burgundy         ;95;164
FR       ;Burgundy         ;94;205
FR       ;Burgundy         ;94;145
FR       ;Alsace           ;88;30
FR       ;Alsace           ;88;
FR       ;Bordeaux         ;84;25
FR       ;Bordeaux         ;83;
FR       ;Alsace           ;86;
FR       ;Alsace           ;86;35
FR       ;Beaujolais       ;90;20
FR       ;Beaujolais       ;90;22
FR       ;Beaujolais       ;90;23
FR       ;Rhône Valley     ;90;90
FR       ;Rhône Valley     ;90;15
FR       ;Provence         ;88;20
FR       ;Bordeaux         ;86;
FR       ;Bordeaux         ;86;11
FR       ;Burgundy         ;84;29
FR       ;Burgundy         ;84;23
FR       ;Burgundy         ;84;28
FR       ;Burgundy         ;84;
FR       ;Burgundy         ;84;40
FR       ;Burgundy         ;84;
FR       ;Burgundy         ;84;20
FR       ;Loire Valley     ;86;20
FR       ;Beaujolais       ;88;25
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;35
FR       ;Alsace           ;87;13
FR       ;Alsace           ;87;
FR       ;Champagne        ;88;35
FR       ;Champagne        ;88;55
FR       ;Champagne        ;88;45
FR       ;Bordeaux         ;92;39
FR       ;Loire Valley     ;89;30
FR       ;Loire Valley     ;89;20
FR       ;Loire Valley     ;89;23
FR       ;Loire Valley     ;89;29
FR       ;Bordeaux         ;86;50
FR       ;Bordeaux         ;86;15
FR       ;Languedoc-Roussil;86;22
FR       ;Languedoc-Roussil;86;20
FR       ;Bordeaux         ;96;
FR       ;Provence         ;84;14
FR       ;Champagne        ;91;90
FR       ;Burgundy         ;91;65
FR       ;Burgundy         ;91;26
FR       ;Champagne        ;91;90
FR       ;Bordeaux         ;88;23
FR       ;Beaujolais       ;86;20
FR       ;Languedoc-Roussil;86;13
FR       ;Southwest France ;86;10
FR       ;Beaujolais       ;86;17
FR       ;Southwest France ;86;13
FR       ;Beaujolais       ;86;19
FR       ;Alsace           ;86;20
FR       ;Alsace           ;86;
FR       ;Alsace           ;86;20
FR       ;Southwest France ;88;15
FR       ;Beaujolais       ;88;22
FR       ;Rhône Valley     ;88;20
FR       ;Loire Valley     ;93;
FR       ;Rhône Valley     ;93;130
FR       ;Alsace           ;93;40
FR       ;Alsace           ;93;32
FR       ;Alsace           ;93;60
FR       ;Loire Valley     ;92;
FR       ;Loire Valley     ;92;28
FR       ;Loire Valley     ;86;17
FR       ;Loire Valley     ;87;22
FR       ;Beaujolais       ;90;
FR       ;Burgundy         ;90;140
FR       ;Burgundy         ;90;
FR       ;Bordeaux         ;90;
FR       ;Provence         ;88;18
FR       ;Loire Valley     ;88;14
FR       ;Burgundy         ;88;35
FR       ;Loire Valley     ;90;35
FR       ;Champagne        ;90;49
FR       ;Champagne        ;90;60
FR       ;Champagne        ;90;63
FR       ;Bordeaux         ;90;27
FR       ;Champagne        ;90;65
FR       ;Burgundy         ;92;80
FR       ;Champagne        ;92;55
FR       ;Champagne        ;92;48
FR       ;Provence         ;87;18
FR       ;Provence         ;87;19
FR       ;Southwest France ;87;17
FR       ;Burgundy         ;88;36
FR       ;Bordeaux         ;85;15
FR       ;Rhône Valley     ;85;15
FR       ;France Other     ;85;
FR       ;France Other     ;85;24
FR       ;Bordeaux         ;89;24
FR       ;Bordeaux         ;89;
FR       ;Loire Valley     ;89;32
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;90;25
FR       ;Bordeaux         ;90;30
FR       ;Bordeaux         ;90;
FR       ;Burgundy         ;91;60
FR       ;Burgundy         ;91;75
FR       ;Burgundy         ;91;32
FR       ;Burgundy         ;91;
FR       ;Burgundy         ;91;69
FR       ;Burgundy         ;88;16
FR       ;Burgundy         ;88;24
FR       ;Burgundy         ;88;42
FR       ;Burgundy         ;88;31
FR       ;Burgundy         ;88;47
FR       ;Burgundy         ;88;26
FR       ;Beaujolais       ;89;20
FR       ;Burgundy         ;89;161
FR       ;Burgundy         ;89;50
FR       ;Beaujolais       ;89;40
FR       ;Provence         ;85;
FR       ;Burgundy         ;91;25
FR       ;Loire Valley     ;91;24
FR       ;Loire Valley     ;91;26
FR       ;Burgundy         ;91;48
FR       ;Loire Valley     ;95;60
FR       ;Bordeaux         ;81;12
FR       ;Bordeaux         ;85;15
FR       ;Bordeaux         ;85;18
FR       ;Rhône Valley     ;87;12
FR       ;Loire Valley     ;94;65
FR       ;Loire Valley     ;94;50
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Loire Valley     ;87;18
FR       ;Bordeaux         ;90;
FR       ;Champagne        ;85;
FR       ;Champagne        ;85;
FR       ;Southwest France ;87;15
FR       ;Burgundy         ;91;
FR       ;Loire Valley     ;90;20
FR       ;Southwest France ;90;
FR       ;Bordeaux         ;88;
FR       ;Languedoc-Roussil;88;36
FR       ;Languedoc-Roussil;88;11
FR       ;Bordeaux         ;88;30
FR       ;Bordeaux         ;91;
FR       ;Bordeaux         ;91;35
FR       ;Alsace           ;91;27
FR       ;Alsace           ;91;38
FR       ;Loire Valley     ;87;16
FR       ;Bordeaux         ;87;
FR       ;Bordeaux         ;87;25
FR       ;Bordeaux         ;86;15
FR       ;Bordeaux         ;86;
FR       ;Bordeaux         ;90;70
FR       ;France Other     ;90;
FR       ;France Other     ;90;
FR       ;Loire Valley     ;91;23
FR       ;Loire Valley     ;91;30
FR       ;Burgundy         ;91;50
FR       ;Burgundy         ;91;55
FR       ;Loire Valley     ;91;26
FR       ;Alsace           ;88;25
FR       ;Alsace           ;88;25
FR       ;Provence         ;88;
FR       ;Rhône Valley     ;87;15
FR       ;Provence         ;87;14
FR       ;Provence         ;87;
FR       ;Provence         ;87;
FR       ;Provence         ;89;20
FR       ;France Other     ;88;21
FR       ;Burgundy         ;88;
FR       ;Burgundy         ;88;19
FR       ;Provence         ;88;22
FR       ;Provence         ;86;
FR       ;Provence         ;86;18
FR       ;Bordeaux         ;93;22
FR       ;Bordeaux         ;93;
FR       ;Southwest France ;90;
FR       ;Southwest France ;90;23
FR       ;Southwest France ;90;
FR       ;Burgundy         ;90;58
FR       ;Burgundy         ;90;
FR       ;Beaujolais       ;90;24
FR       ;Beaujolais       ;90;24
FR       ;Rhône Valley     ;90;18
FR       ;Champagne        ;88;57
FR       ;Bordeaux         ;91;29
FR       ;Bordeaux         ;91;20
FR       ;Bordeaux         ;91;
FR       ;Bordeaux         ;91;40
FR       ;Provence         ;90;19
FR       ;Provence         ;90;15
FR       ;Burgundy         ;92;160
FR       ;Alsace           ;92;55
FR       ;Provence         ;92;49
FR       ;France Other     ;83;10
FR       ;France Other     ;83;9
FR       ;France Other     ;83;10
FR       ;France Other     ;83;5
FR       ;France Other     ;83;9
FR       ;France Other     ;83;10
FR       ;France Other     ;83;10
FR       ;France Other     ;83;5
FR       ;France Other     ;83;9
FR       ;Burgundy         ;84;
FR       ;Burgundy         ;84;22
FR       ;Burgundy         ;84;24
FR       ;Alsace           ;84;20
FR       ;Bordeaux         ;88;9
FR       ;Bordeaux         ;88;19
FR       ;France Other     ;88;33
FR       ;Bordeaux         ;88;28
FR       ;France Other     ;88;
FR       ;Burgundy         ;88;24
FR       ;Burgundy         ;97;550
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;28
FR       ;Bordeaux         ;88;20
FR       ;Bordeaux         ;88;15
FR       ;Bordeaux         ;88;33
FR       ;Burgundy         ;84;10
FR       ;Bordeaux         ;84;
FR       ;Alsace           ;87;20
FR       ;Alsace           ;87;12
FR       ;Alsace           ;87;19
FR       ;Burgundy         ;87;18
FR       ;Champagne        ;89;45
FR       ;Champagne        ;89;120
FR       ;Champagne        ;88;30
FR       ;Champagne        ;88;44
FR       ;Champagne        ;89;45
FR       ;Burgundy         ;87;32
FR       ;Burgundy         ;87;
FR       ;Burgundy         ;87;17
FR       ;Champagne        ;92;70
FR       ;Loire Valley     ;92;80
FR       ;Bordeaux         ;89;70
FR       ;Bordeaux         ;89;25
FR       ;Bordeaux         ;89;21
FR       ;Provence         ;89;15
FR       ;Champagne        ;89;
FR       ;Beaujolais       ;87;22
FR       ;Languedoc-Roussil;87;12
FR       ;Burgundy         ;87;
FR       ;Burgundy         ;85;
FR       ;Burgundy         ;85;19
FR       ;Burgundy         ;85;9
FR       ;Burgundy         ;85;21
FR       ;France Other     ;90;18
FR       ;France Other     ;84;
FR       ;Loire Valley     ;84;16
FR       ;Loire Valley     ;92;16
FR       ;Alsace           ;91;50
FR       ;Alsace           ;91;34
FR       ;Champagne        ;91;50
FR       ;Burgundy         ;93;
FR       ;Burgundy         ;93;55
FR       ;Burgundy         ;93;
FR       ;Burgundy         ;93;
FR       ;Southwest France ;87;12
FR       ;Southwest France ;86;15
FR       ;Languedoc-Roussil;85;10
FR       ;Languedoc-Roussil;85;17
FR       ;Bordeaux         ;96;475
FR       ;Bordeaux         ;96;
FR       ;Bordeaux         ;96;
FR       ;Bordeaux         ;95;235
FR       ;Bordeaux         ;95;
FR       ;Bordeaux         ;95;
FR       ;Bordeaux         ;95;160
FR       ;Bordeaux         ;95;
FR       ;Bordeaux         ;94;200
FR       ;Champagne        ;94;
FR       ;Burgundy         ;91;54
FR       ;Burgundy         ;91;94
FR       ;Burgundy         ;91;30
FR       ;Burgundy         ;83;15
FR       ;Burgundy         ;83;18
FR       ;Burgundy         ;83;
FR       ;Burgundy         ;83;23
FR       ;Burgundy         ;94;67
FR       ;Burgundy         ;94;150
FR       ;Burgundy         ;94;273
FR       ;Burgundy         ;94;152
FR       ;Loire Valley     ;87;11
FR       ;Loire Valley     ;86;
FR       ;Loire Valley     ;86;26
FR       ;Burgundy         ;88;46
FR       ;Burgundy         ;90;125
FR       ;Burgundy         ;90;63
FR       ;Alsace           ;93;65
FR       ;Alsace           ;93;45
FR       ;Alsace           ;93;40
FR       ;Bordeaux         ;91;27
FR       ;Loire Valley     ;91;19
FR       ;Burgundy         ;94;53
FR       ;Burgundy         ;94;280
FR       ;Burgundy         ;94;
FR       ;Burgundy         ;94;
FR       ;Burgundy         ;94;80
FR       ;Bordeaux         ;93;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;
FR       ;Bordeaux         ;89;29
FR       ;Southwest France ;89;25
FR       ;Southwest France ;89;61
FR       ;Southwest France ;89;40
FR       ;Bordeaux         ;89;35
FR       ;Champagne        ;89;
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;17
FR       ;Bordeaux         ;88;27
FR       ;Bordeaux         ;91;
FR       ;Bordeaux         ;91;60
FR       ;Bordeaux         ;91;30
FR       ;Champagne        ;89;65
FR       ;Alsace           ;89;40
FR       ;Champagne        ;89;95
FR       ;Champagne        ;89;45
FR       ;Loire Valley     ;93;
FR       ;Bordeaux         ;89;40
FR       ;Bordeaux         ;89;27
FR       ;Bordeaux         ;86;13
FR       ;France Other     ;86;18
FR       ;Alsace           ;89;
FR       ;Provence         ;89;
FR       ;Bordeaux         ;89;40
FR       ;Bordeaux         ;89;19
FR       ;Alsace           ;92;48
FR       ;Loire Valley     ;84;12
FR       ;Southwest France ;84;12
FR       ;Southwest France ;84;12
FR       ;Burgundy         ;82;
FR       ;Alsace           ;87;18
FR       ;Champagne        ;87;57
FR       ;Champagne        ;87;40
FR       ;Champagne        ;87;40
FR       ;Beaujolais       ;87;25
FR       ;France Other     ;85;
FR       ;Alsace           ;84;13
FR       ;Provence         ;90;35
FR       ;Provence         ;90;20
FR       ;Loire Valley     ;90;18
FR       ;France Other     ;90;25
FR       ;Burgundy         ;87;
FR       ;Burgundy         ;87;35
FR       ;Burgundy         ;87;
FR       ;Alsace           ;89;13
FR       ;Alsace           ;90;19
FR       ;Loire Valley     ;90;25
FR       ;Bordeaux         ;90;10
FR       ;Alsace           ;90;
FR       ;Alsace           ;90;25
FR       ;Bordeaux         ;88;30
FR       ;Rhône Valley     ;92;70
FR       ;Provence         ;92;45
FR       ;Alsace           ;87;24
FR       ;Alsace           ;86;17
FR       ;Languedoc-Roussil;86;9
FR       ;Burgundy         ;86;18
FR       ;Burgundy         ;86;
FR       ;Beaujolais       ;92;25
FR       ;Champagne        ;92;63
FR       ;Bordeaux         ;90;
FR       ;Loire Valley     ;90;
FR       ;Bordeaux         ;85;10
FR       ;Bordeaux         ;85;10
FR       ;Bordeaux         ;85;12
FR       ;Champagne        ;87;70
FR       ;Alsace           ;87;18
FR       ;Champagne        ;87;54
FR       ;Champagne        ;87;46
FR       ;Burgundy         ;85;25
FR       ;Burgundy         ;90;
FR       ;Burgundy         ;90;32
FR       ;Bordeaux         ;86;20
FR       ;Bordeaux         ;86;60
FR       ;Bordeaux         ;88;45
FR       ;Bordeaux         ;88;17
FR       ;Bordeaux         ;88;35
FR       ;Bordeaux         ;88;
FR       ;Beaujolais       ;88;17
FR       ;Bordeaux         ;88;19
FR       ;Rhône Valley     ;91;75
FR       ;Champagne        ;94;85
FR       ;Champagne        ;94;286
FR       ;Champagne        ;94;262
FR       ;Champagne        ;94;140
FR       ;Bordeaux         ;84;
FR       ;Southwest France ;84;60
FR       ;Bordeaux         ;84;18
FR       ;Burgundy         ;90;16
FR       ;Burgundy         ;90;26
FR       ;Burgundy         ;90;60
FR       ;Burgundy         ;86;18
FR       ;Provence         ;87;19
FR       ;Rhône Valley     ;87;50
FR       ;Rhône Valley     ;87;25
FR       ;Champagne        ;86;30
FR       ;Bordeaux         ;86;22
FR       ;Burgundy         ;86;18
FR       ;Beaujolais       ;86;17
FR       ;Beaujolais       ;86;20
FR       ;Beaujolais       ;86;17
FR       ;Beaujolais       ;86;15
FR       ;Bordeaux         ;91;28
FR       ;Bordeaux         ;91;16
FR       ;Burgundy         ;93;90
FR       ;Burgundy         ;93;117
FR       ;Burgundy         ;93;106
FR       ;Champagne        ;87;40
FR       ;Champagne        ;87;53
FR       ;Alsace           ;87;22
FR       ;Bordeaux         ;87;30
FR       ;Champagne        ;91;
FR       ;Bordeaux         ;91;
FR       ;Bordeaux         ;91;
FR       ;Loire Valley     ;91;19
FR       ;Burgundy         ;92;
FR       ;Burgundy         ;92;
FR       ;Burgundy         ;92;
FR       ;Champagne        ;92;275
FR       ;Champagne        ;92;
FR       ;Alsace           ;89;32
FR       ;Provence         ;89;25
FR       ;Burgundy         ;88;80
FR       ;Rhône Valley     ;92;20
FR       ;Alsace           ;87;18
FR       ;Alsace           ;87;20
FR       ;Provence         ;87;45
FR       ;Alsace           ;87;29
FR       ;Alsace           ;87;
FR       ;Alsace           ;87;28
FR       ;Champagne        ;87;35
FR       ;France Other     ;87;11
FR       ;Burgundy         ;87;
FR       ;Burgundy         ;92;148
FR       ;Alsace           ;92;60
FR       ;Burgundy         ;92;50
FR       ;Rhône Valley     ;92;90
FR       ;Alsace           ;88;28
FR       ;Southwest France ;86;15
FR       ;Beaujolais       ;87;18
FR       ;Beaujolais       ;87;20
FR       ;Beaujolais       ;93;27
FR       ;Beaujolais       ;89;
FR       ;Bordeaux         ;86;24
FR       ;Bordeaux         ;86;10
FR       ;Bordeaux         ;86;20
FR       ;France Other     ;86;16
FR       ;Burgundy         ;89;21
FR       ;Burgundy         ;89;25
FR       ;Southwest France ;88;
FR       ;Loire Valley     ;88;24
FR       ;Rhône Valley     ;88;
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;
FR       ;Bordeaux         ;88;13
FR       ;Bordeaux         ;88;
FR       ;France Other     ;89;28
FR       ;Rhône Valley     ;89;20
FR       ;Southwest France ;89;18
FR       ;France Other     ;89;16
FR       ;Burgundy         ;89;148
FR       ;Burgundy         ;89;36
FR       ;Burgundy         ;89;
FR       ;Bordeaux         ;87;16
FR       ;Bordeaux         ;87;
FR       ;Bordeaux         ;87;25
FR       ;Bordeaux         ;93;40
FR       ;Rhône Valley     ;93;84
FR       ;Bordeaux         ;95;50
FR       ;Bordeaux         ;95;75
FR       ;Bordeaux         ;95;130
FR       ;Burgundy         ;93;100
FR       ;Burgundy         ;93;250
FR       ;Burgundy         ;93;224
FR       ;Burgundy         ;93;359
FR       ;Loire Valley     ;92;
FR       ;Beaujolais       ;91;25
FR       ;Beaujolais       ;91;30
FR       ;Bordeaux         ;89;25
FR       ;Southwest France ;89;17
FR       ;Southwest France ;89;19
FR       ;Loire Valley     ;93;40
FR       ;Loire Valley     ;93;35
FR       ;Bordeaux         ;88;
FR       ;Loire Valley     ;91;26
FR       ;Loire Valley     ;91;35
FR       ;Burgundy         ;89;59
FR       ;Burgundy         ;89;
FR       ;Beaujolais       ;89;20
FR       ;Burgundy         ;89;39
FR       ;Beaujolais       ;88;
FR       ;Loire Valley     ;88;16
FR       ;Loire Valley     ;88;
FR       ;Loire Valley     ;88;25
FR       ;Bordeaux         ;90;25
FR       ;Bordeaux         ;90;29
FR       ;Bordeaux         ;92;29
FR       ;Bordeaux         ;86;20
FR       ;Languedoc-Roussil;86;14
FR       ;Bordeaux         ;87;14
FR       ;Bordeaux         ;91;17
FR       ;Alsace           ;91;35
FR       ;Southwest France ;86;
FR       ;Southwest France ;86;16
FR       ;Southwest France ;86;12
FR       ;Beaujolais       ;86;13
FR       ;Rhône Valley     ;92;49
FR       ;Rhône Valley     ;92;109
FR       ;Rhône Valley     ;89;16
FR       ;Provence         ;93;30
FR       ;Provence         ;93;40
FR       ;Provence         ;93;46
FR       ;Loire Valley     ;92;45
FR       ;Bordeaux         ;92;40
FR       ;Burgundy         ;87;60
FR       ;Alsace           ;92;33
FR       ;Burgundy         ;92;50
FR       ;Southwest France ;93;26
FR       ;Southwest France ;93;50
FR       ;Southwest France ;93;23
FR       ;Burgundy         ;86;
FR       ;Southwest France ;93;22
FR       ;Southwest France ;93;13
FR       ;Southwest France ;93;
FR       ;Rhône Valley     ;93;57
FR       ;Loire Valley     ;85;13
FR       ;Southwest France ;85;8
FR       ;Loire Valley     ;85;12
FR       ;Southwest France ;90;
FR       ;Rhône Valley     ;89;25
FR       ;Burgundy         ;92;
FR       ;Burgundy         ;92;
FR       ;Burgundy         ;92;93
FR       ;Burgundy         ;92;43
FR       ;Southwest France ;93;39
FR       ;Southwest France ;93;90
FR       ;Southwest France ;93;40
FR       ;Languedoc-Roussil;86;12
FR       ;Burgundy         ;86;18
FR       ;Languedoc-Roussil;86;13
FR       ;Burgundy         ;86;25
FR       ;Burgundy         ;86;22
FR       ;Languedoc-Roussil;86;25
FR       ;Burgundy         ;86;28
FR       ;Provence         ;86;19
FR       ;Burgundy         ;86;16
FR       ;Burgundy         ;88;
FR       ;Champagne        ;96;160
FR       ;Alsace           ;96;78
FR       ;Alsace           ;96;29
FR       ;Alsace           ;96;45
FR       ;Alsace           ;96;100
FR       ;Alsace           ;95;25
FR       ;Alsace           ;95;85
FR       ;Alsace           ;95;26
FR       ;Alsace           ;95;54
FR       ;Alsace           ;95;35
FR       ;Champagne        ;95;65
FR       ;Burgundy         ;90;37
FR       ;Alsace           ;87;34
FR       ;Provence         ;89;43
FR       ;Burgundy         ;91;52
FR       ;Burgundy         ;91;
FR       ;Bordeaux         ;91;20
FR       ;Champagne        ;91;40
FR       ;Champagne        ;91;
FR       ;Alsace           ;89;35
FR       ;Provence         ;89;25
FR       ;Rhône Valley     ;88;15
FR       ;Alsace           ;88;14
FR       ;Burgundy         ;88;
FR       ;Burgundy         ;87;
